country,product,date,gross_production_value
Algeria,"Broad beans and horse beans, green",2017,189056
Algeria,"Broad beans and horse beans, green",2018,202202
Algeria,Cabbages,2015,35279
Algeria,Cabbages,2016,47309
Algeria,Cabbages,2017,41472
Algeria,Cabbages,2018,48451
Algeria,Carrots and turnips,2015,163510
Algeria,Carrots and turnips,2016,175613
Algeria,Carrots and turnips,2017,169694
Algeria,Carrots and turnips,2018,180347
Algeria,Cauliflowers and broccoli,2015,94336
Algeria,Cauliflowers and broccoli,2016,118711
Algeria,Cauliflowers and broccoli,2017,101301
Algeria,Cauliflowers and broccoli,2018,120186
Algeria,Cherries,2015,12127
Algeria,Cherries,2016,9354
Algeria,Cherries,2017,12458
Algeria,Cherries,2018,11949
Algeria,"Chick peas, dry",2015,18822
Algeria,"Chick peas, dry",2016,16304
Algeria,"Chick peas, dry",2017,22199
Algeria,"Chick peas, dry",2018,28928
Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2015,12163
Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2016,12453
Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2017,12626
Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2018,12768
Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2015,447816
Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2016,481076
Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2017,494163
Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2018,523192
Algeria,Cucumbers and gherkins,2015,36292
Algeria,Cucumbers and gherkins,2016,32563
Algeria,Cucumbers and gherkins,2017,40353
Algeria,Cucumbers and gherkins,2018,45535
Algeria,Dates,2015,3845501
Algeria,Dates,2016,3997782
Algeria,Dates,2017,4110242
Algeria,Dates,2018,4250574
Algeria,Eggplants (aubergines),2015,22864
Algeria,Eggplants (aubergines),2016,21306
Algeria,Eggplants (aubergines),2017,26181
Algeria,Eggplants (aubergines),2018,30504
Algeria,Figs,2015,28830
Algeria,Figs,2016,24937
Algeria,Figs,2017,26664
Algeria,Figs,2018,22630
Algeria,Grapes,2015,799754
Algeria,Grapes,2016,804375
Algeria,Grapes,2017,797656
Algeria,Grapes,2018,708117
Algeria,Green garlic,2015,291833
Algeria,Green garlic,2016,274908
Algeria,Green garlic,2017,327562
Algeria,Green garlic,2018,536410
Algeria,"Groundnuts, excluding shelled",2015,4035
Algeria,"Groundnuts, excluding shelled",2016,8391
Algeria,"Groundnuts, excluding shelled",2017,12034
Algeria,"Groundnuts, excluding shelled",2018,14063
Algeria,"Hen eggs in shell, fresh",2015,741223
Algeria,"Hen eggs in shell, fresh",2016,746511
Algeria,"Hen eggs in shell, fresh",2017,631809
Algeria,"Hen eggs in shell, fresh",2018,603965
Algeria,"Horse meat, fresh or chilled (indigenous)",2015,1
Algeria,"Horse meat, fresh or chilled (indigenous)",2016,1
Algeria,"Horse meat, fresh or chilled (indigenous)",2017,1
Algeria,"Horse meat, fresh or chilled (indigenous)",2018,1
Algeria,Lemons and limes,2015,87589
Algeria,Lemons and limes,2016,89764
Algeria,Lemons and limes,2017,93860
Algeria,Lemons and limes,2018,95116
Algeria,"Lentils, dry",2015,2492
Algeria,"Lentils, dry",2016,5075
Algeria,"Lentils, dry",2017,9644
Algeria,"Lentils, dry",2018,14946
Algeria,Locust beans (carobs),2015,370
