Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","129.388659","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","130.617931","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","133.930119","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","135.643645","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","136.133194","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","133.539432","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","129.912985","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","99.586351","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","101.074021","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","100.811491","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","100.461451","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","100.373941","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","99.673861","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","98.886272","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","99.673861","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","99.586351","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","100.548961","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","100.111411","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","99.236311","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","99.148801","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","98.623742","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","99.061292","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","100.023901","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","98.448722","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","97.836152","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","98.886272","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","98.798762","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","98.273702","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","98.798762","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","99.761371","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","99.586351","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","98.448722","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","100.548961","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","99.761371","X","Figure from external organization","base year is 2015"
